Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"functions, programmatic arithmetic",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1aLBdOXuLi6InF4ZtOkNVHHg0yQryP6cH?authuser=2,Stony Brook University
"functions, programmatic arithmetic",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/17OurVO4fXdcslY50_gzsw_7QemtvGJga?authuser=2,Stony Brook University
"functions, programmatic arithmetic, string formatting",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1kJ18kupuA6KKapwZaaVRA_v1I5BrBYp1?authuser=2,Stony Brook University
"functions, programmatic arithmetic",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1Is6bjj4U1yRhgrygElYlgfSrh3NbBtgF?authuser=2,Stony Brook University
"functions, programmatic arithmetic","currency exchange, euros, US dollars",,Python,CS1,2023,https://colab.research.google.com/drive/1tUsoyGDeBGAEuJcslK9V02vbFKIbp-62?authuser=2,Stony Brook University
"functions, programmatic arithmetic","calculate cost of gas tank refil, car",,Python,CS1,2023,https://colab.research.google.com/drive/1yizmUbmr4jgXCS5n3dSMz0PVIgzL02Qy?authuser=2,Stony Brook University
"functions, programmatic arithmetic","heat, temperature, chemistry, physics",,Python,CS1,2023,https://colab.research.google.com/drive/1B2AcSY0ZJufVMiYJ-3CXzEmcrCjioX2J?authuser=2,Stony Brook University
"functions, programmatic arithmetic, string formatting",calculate time to refill a pool,,Python,CS1,2023,https://colab.research.google.com/drive/1qMsouHrne1585Tv_NiqgJw3738jk2_0D?authuser=2,Stony Brook University
"functions, programmatic arithmetic",population estimation,,Python,CS1,2023,https://colab.research.google.com/drive/1f6ouJtQEQaeofNpFkG5t4RmaiHuTcnQY?authuser=2,Stony Brook University
"functions, programmatic arithmetic","geometry, farmhouse",,Python,CS1,2023,https://colab.research.google.com/drive/14GDB76WEzkFePB8WIKDdgHVI_EaBO46E?authuser=2,Stony Brook University
"functions, programmatic arithmetic",vacation planner,,Python,CS1,2023,https://colab.research.google.com/drive/1fq0xYRMdC--fHhI0sWsUcIHUJeD9MsvG?authuser=2,Stony Brook University
"functions, programmatic arithmetic",download time calculator,,Python,CS1,2023,https://colab.research.google.com/drive/13qVZT-3vrjUk5XNFLsXxQYEiYTFf1qIa?authuser=2,Stony Brook University
"conditional statements, functions",calculate auto insurance premium,,Python,CS1,2023,https://colab.research.google.com/drive/1ggwzZUA1uMnQr_FqC7QSQbRew8Y486A2?authuser=2,Stony Brook University
"conditional statements, functions",calculate train fare,,Python,CS1,2023,https://colab.research.google.com/drive/1f03dxWYu5wE5R30ZSDH034G0ruKuRN3z?authuser=2,Stony Brook University
"conditional statements, functions, string formatting","compute basal metabolic rate, total daily energy expenditure,  health, medical, biology",,Python,CS1,2023,https://colab.research.google.com/drive/1Gk0CYDcFj0uN9cyvTMQ3Wl687M8yPzFw?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",college student's academic level,,Python,CS1,2023,https://colab.research.google.com/drive/1EEh870raxXpA8mtmuPnuJ7qo__BMFIDY?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",compute water bill,,Python,CS1,2023,https://colab.research.google.com/drive/1CnBmoavlYOILmcaWbYXOGz2-kTMYn_ng?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",calculate computer price,,Python,CS1,2023,https://colab.research.google.com/drive/1RjPP8dLmwAUvmHy9fj-_qizrcUN5fEf6?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","car customization, design",,Python,CS1,2023,https://colab.research.google.com/drive/1Eqv6vJVeozU9fYGS4Ry8vQIHNE99vpn3?authuser=2,Stony Brook University
"conditional statements, functions","voltage, physics, electronics, waveforms",,Python,CS1,2023,https://colab.research.google.com/drive/1TMNRAmkoUdFZSQC5zRvuGagGrf0aLxHc?authuser=2,Stony Brook University
