Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"functions, conditional statements, lists, programmatic arithmetic","poker, card games",,Python,CS1,2024,https://colab.research.google.com/drive/1j5DSx_bArNC7BESe065SH8nA-Kjg5_2n?authuser=2,Stony Brook University
"functions, lists",GPA,,Python,CS1,2023,https://colab.research.google.com/drive/1UMx3Va584RvCZAEswngydlNQc7J4WYfU?authuser=2,Stony Brook University
"functions, conditional statements, lists","swap entries, student records",,Python,CS1,2023,https://colab.research.google.com/drive/1X5cEb4cTDhtOQGKTnh3xIM7hfNuqiBrr?authuser=2,Stony Brook University
"functions, lists, string basics, conditional statements","clock, 24 hour time",,Python,CS1,2023,https://colab.research.google.com/drive/1kunowkFYMxEcJBDMTlyXx7RolgXIA5m8?authuser=2,Stony Brook University
"functions, lists","test scores, students",,Python,CS1,2023,https://colab.research.google.com/drive/1GEiSYA6Q_e0XKqbOrelqq2qWDcZIrby8?authuser=2,Stony Brook University
"functions, lists, conditional statements, for loops","acronym maker, words",,Python,CS1,2023,https://colab.research.google.com/drive/1eL1ISeUKsnWOiVFBSIN1r3ii_n2OsmMF?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","activity scheduling, camp counselor",,Python,CS1,2023,https://colab.research.google.com/drive/1b_TZaffaESbC1w823ON0VS60rlJYDY4b?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","purchases, budget, money",random,Python,CS1,2023,https://colab.research.google.com/drive/1FqpCKdId72o4wDwurX9mBC-HeZ4pKh62?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements",car maintance budget,,Python,CS1,2023,https://colab.research.google.com/drive/19ASSVegIC5g4ow0kg-Wdk2AvxMBNSbPu?authuser=2,Stony Brook University
"functions, lists, for loop, conditional statements, case sensitivity, string basics","case sensitivity, Unicode values, words",,Python,CS1,2023,https://colab.research.google.com/drive/1e_B6zcEfTaoG8tyK_ARHWen8CA_Jlwpq?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, programmatic arithmetic",car rental,,Python,CS1,2023,https://colab.research.google.com/drive/179rz8Rw-cBkCnj-V-U2rteTEJ1FrZ7mK?authuser=2,Stony Brook University
"functions, lists, for loops, programmatic arithmetic","Catalan numbers, Fibonacci sequence, math",,Python,CS1,2023,https://colab.research.google.com/drive/13W_u70M_ETDnD4ztcKQX4nlA_oBgf-FX?authuser=2,Stony Brook University
"functions, for loops, lists, conditional statements","school mascot, local eateries, cafe, coffee",,Python,CS1,2023,https://colab.research.google.com/drive/1XS8zt5Sqh4X_yep_wa7ktdQFjwmI0qvY?authuser=2,Stony Brook University
"functions, string basics, for loops, lists","compute elapsed time, 24 hour time",,Python,CS1,2023,https://colab.research.google.com/drive/1OmCH5fwxuz4Um3bRX26SJihf2Tp0B4DK?authuser=2,Stony Brook University
"function, lists, for loops, conditional statements","Pokemon, gacha game",,Python,CS1,2023,https://colab.research.google.com/drive/1pRPcfbCnVCbYYj0-gXnzWJSPr4V8o4Wc?authuser=2,Stony Brook University
"functions, conditional statements, for loops, conditional statements, string basics","Dean's list, students, grades",,Python,CS1,2023,https://colab.research.google.com/drive/1Q_-TdIPjsr3fSyHqe7FRNdocjVccU0eL?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements",factors of numbers in descending order,,Python,CS1,2023,https://colab.research.google.com/drive/1ciiFI3n-O_eDO0tlNb_cDWzrs95jEiW4?authuser=2,Stony Brook University
"functions, for loops, conditional statements","Duck, Duck, Goose, game",,Python,CS1,2023,https://colab.research.google.com/drive/12zcbPyTDc1Fx8ZrQ1w2r99A3kkHwuOjM?authuser=2,Stony Brook University
"functions, for loops, programmatic arithmetic, conditional statements","Euler's Totient Function, number theory, cryptography",,Python,CS1,2024,https://colab.research.google.com/drive/12zcbPyTDc1Fx8ZrQ1w2r99A3kkHwuOjM?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, string basics",file organizer,,Python,CS1,2023,https://colab.research.google.com/drive/1rxWqWyu5eOhDBiyhTi-xi0cTHEL0foQp?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","voting, polling locations",,Python,CS1,2023,https://colab.research.google.com/drive/1vnLCh10QoQEXFZvJU_Zu8REWPia1Sif4?authuser=2,Stony Brook University
"functions, lists, for loops, string concatenation, string basics",generate IDs,,Python,CS1,2024,https://colab.research.google.com/drive/1SSwUGyMXrJ9X4C_nGLKEp8Wbry6aUeZQ?authuser=2,Stony Brook University
"functions, conditional statements, for loops, lists",GPA calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1RFb6xeveXObcMnAl97pXKmmKpWl4lOGZ?authuser=2,Stony Brook University
"programmatic arithmetic, functions, conditional statements, for loops, lists",IT help desk simulator,,Python,CS1,2023,https://colab.research.google.com/drive/1ONV1rQotAUVnBbXmOpbfqNaGk0aTTrzY?authuser=2,Stony Brook University
"functions, lists, conditional statements, for loops",interleaving lists,,Python,CS1,2023,https://colab.research.google.com/drive/1Hm5dW0Hy-65uj-dJ9Deqzfgue4thI1by?authuser=2,Stony Brook University
"function, for loop, string basics, conditional statements, lists","inventory manager, online shopping",,Python,CS1,2023,https://colab.research.google.com/drive/1u97Qk8wF0-7iXGdXeg_89Nk2igu2nsNK?authuser=2,Stony Brook University
"functions, string basics, lists, for loops, conditional statements","letter puller, words",,Python,CS1,2023,https://colab.research.google.com/drive/162Hic9leptQZTS0gbm7KeUqh7gL3TQ7C?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","meals, food, fast food restaurants",,Python,CS1,2023,https://colab.research.google.com/drive/1pEEcN3TZOiCLh6JvKY9jk5pTjbhR0KDY?authuser=2,Stony Brook University
"function, lists, for loops, conditional statements",match brackets,,Python,CS1,2023,https://colab.research.google.com/drive/1xIs7zV35ASBRzpGofIxipTjcbKu6DYz0?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, string concatenation",student status,,Python,CS1,2023,https://colab.research.google.com/drive/18dD4ilUg3zRsmncTH-GPaXSUJQsWlXJb?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","Pair Up! game, basketball",,Python,CS1,2024,https://colab.research.google.com/drive/1I4EXmhhbehIuOhP2vopBLp8FIGyIV8k2?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","palindrome finder, words",,Python,CS1,2024,https://colab.research.google.com/drive/1Y8VXPtJGgU8Qzl-PT4YxexFq8qLSsQ2c?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","party cost calculator, pizza",,Python,CS1,2023,https://colab.research.google.com/drive/12Yd8CJ9x_0mXsAFSxSZ4zS6SOQ-qOhee?authuser=2,Stony Brook University
"functions, lists, for loops, programmatic arithmetic",pentagonal numbers,,Python,CS1,2023,https://colab.research.google.com/drive/13v6eHXe3SdR5uH1jIKXoXw7dujhUfbUq?authuser=2,Stony Brook University
"functions, lists, conditional statements, string formatting","local coffee shop, coffee order",,Python,CS1,2023,https://colab.research.google.com/drive/1TA_mEKy_TkI7z6JszAMv8zWFRLq0r8hU?authuser=2,Stony Brook University
"functions, lists, conditional statements, for loops",print job cost calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1tPDxh21A8YO7ossbqKphRTGXbeH5dUgG?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements",reassign student IDs,,Python,CS1,2023,https://colab.research.google.com/drive/1HjTzi5TmqqOoXZ25hfeCyYd6HU9M1xl8?authuser=2,Stony Brook University
"string basics, functions, conditional statements, for loops, lists",word manipulation,,Python,CS1,2023,https://colab.research.google.com/drive/1OkYG5LVnKdm1hTHSuiXOylSvAnBCZNrM?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements",Reverse Polish Notation calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1wqTX7HE6irdD9LTSw4gQcZjxnIct1Ojh?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","boat race, regatta",,Python,CS1,2023,https://colab.research.google.com/drive/1jCk3aOzDdP-AGxunwTbYE9eSb3fVjq9m?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements",scantron grading,,Python,CS1,2023,https://colab.research.google.com/drive/1rGXn2KqpSmTh9pXUHOMy9rX683m9upyq?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements","set intersection, math",,Python,CS1,2023,https://colab.research.google.com/drive/1DSR6kv8iq7bf3sgABd04sO_onFQmIS8A?authuser=2,Stony Brook University
"functions, lists, conditional statements, programmatic arithmetic","Poker, card games",,Python,CS1,2023,https://colab.research.google.com/drive/1ixU11jlh_DFvQvOf5Yr1Aeacxy5Bft5N?authuser=2,Stony Brook University
"tuples, functions, lists, for loops","stock portfolio, economics",,Python,CS1,2023,https://colab.research.google.com/drive/1BMIuB133cAcZdK7ZD9SPxrS2mRFt14fS?authuser=2,Stony Brook University
"functions, for loops, conditional statements, string basics",string separator,string,Python,CS1,2023,https://colab.research.google.com/drive/1b3hor_76hwAF_NNozk9XncubEz2z7n-b?authuser=2,Stony Brook University
"functions, conditional statements, lists, for loops",Fibonacci sequence,,Python,CS1,2023,https://colab.research.google.com/drive/1wBPN1ASVVVI2oWxlEqCN4gHJWQFR9l_s?authuser=2,Stony Brook University
"functions, conditional statements, lists, for loops","local pizza restaurant, food",,Python,CS1,2023,https://colab.research.google.com/drive/1Elkrc_nb7jjEEgxlPDYkr0YW_7we0E9b?authuser=2,Stony Brook University
"functions, lists, for loops","Scrabble score, board games",,Python,CS1,2023,https://colab.research.google.com/drive/12TtYWUcVsCObu_eCvz62O8abi6ICtv0G?authuser=2,Stony Brook University
"functions, for loops, lists, conditional statements",tracking sales of hardware store,,Python,CS1,2023,https://colab.research.google.com/drive/1VkZLT34tIjRhQkxErYHtE7PF0hCnssm9?authuser=2,Stony Brook University
"functions, programmatic arithmetic, for loops, lists",untangling a list,,Python,CS1,2023,https://colab.research.google.com/drive/1RokC9JcehmkZEgGrLkOEDvsOl4RMUZXC?authuser=2,Stony Brook University
"functions, lists, conditional statements",vacation planner,,Python,CS1,2023,https://colab.research.google.com/drive/1fMptzjNbknSmFlvFl6-yCW0qLxaps_a1?authuser=2,Stony Brook University
"functions, lists, conditional statements, for loops","test scores, students",,Python,CS1,2023,https://colab.research.google.com/drive/19gP0P11WnWRiKUKfNl4F0I8vxgNhB7TM?authuser=2,Stony Brook University
"functions, string formatting, conditional statements, programmatic arithmetic","purchasing in bulk, computers",,Python,CS1,2023,https://colab.research.google.com/drive/1cFadKImyRCNdbmNN7KBeXm5aUkBBM50V?authuser=2,Stony Brook University
"string basics, functions, for loops, conditional statements, lists","Dean's list, students, grades",,Python,CS1,2023,https://colab.research.google.com/drive/1Dm-FPi8zSJOFVp08KK9fEdIY-cka4pQH?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators",dog intraocular eye pressure,,Python,CS1,2023,https://colab.research.google.com/drive/1a38NStD62o4rcWhDoRbXhlMLwhLpTWGx?authuser=2,Stony Brook University
"functions, conditional statements, lists, for loops",Drop Dead Dice game,,Python,CS1,2023,https://colab.research.google.com/drive/19VHQnaD8bn6laPf_VCYNdAVbAOEme77U?authuser=2,Stony Brook University
"functions, logical operators, conditional statements","eligibility to donate blood, health",,Python,CS1,2023,https://colab.research.google.com/drive/18puQXvXToQIcFtqCWqCNcV983x7t7xc_?authuser=2,Stony Brook University
"functions, conditional statements, logical operators",optimizing field day games,,Python,CS1,2023,https://colab.research.google.com/drive/1iSAiWcVS-Kos4YIRH45lqSWy8MIsLU27?authuser=2,Stony Brook University
"functions, lists, conditional statements, for loops, logical operators",GPA calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1mPNtb09_aIbL8JkY3g8oyHKogaE2ewFV?authuser=2,Stony Brook University
"functions, conditional statements, string concatenation, lists, string basics",insurance ID card number verifier,,Python,CS1,2023,https://colab.research.google.com/drive/1rTJFTIPhmwrA7-VMBiJDWLaG4ImhVHZr?authuser=2,Stony Brook University
"functions, conditional statements, logical operators",movie theatre admission,,Python,CS1,2023,https://colab.research.google.com/drive/1vB0lXF5N-XZmH6r2yAOyfa872wSYZ6Tc?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators, string formatting",New York blood donoar eligibility,,Python,CS1,2023,https://colab.research.google.com/drive/1RNQSqF0CePMOZkahz7YkD9giPAJ5dG_P?authuser=2,Stony Brook University
"functions, conditional statements, logical operators","flying, airlines, planes",,Python,CS1,2023,https://colab.research.google.com/drive/1QWQdJRDmWaxp3T2BzGrMqwXyotGeLupV?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators",pricing a custom-order smartphone,,Python,CS1,2023,https://colab.research.google.com/drive/1tbv-_-1QkqnAlFoN6EgpI2BXkJtk9RrR?authuser=2,Stony Brook University
"functions, conditional statements, lists, arithmetic operators, logical operators",robotics competition,,Python,CS1,2023,https://colab.research.google.com/drive/18gMTi_n630by9UGRWrsYiacfmp8s3CXZ?authuser=2,Stony Brook University
"functions, conditional statements, logical operators, arithmetic operators","fashion, restaurants, dating, outfit rating",,Python,CS1,2023,https://colab.research.google.com/drive/1xDOT8BRs5-Cb0yOoRbzE_Bpyq944q6T6?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, arithmetic operators, logical operators","taking care of a Tamagotchi pet, game, toy",,Python,CS1,2023,https://colab.research.google.com/drive/1dWbmkfQljMtPSxJrmhMZSwoMeJIgK82u?authuser=2,Stony Brook University
"functions, conditional statements, lists, arithmetic operators, string formatting","compute cruise cost, vacation",,Python,CS1,2023,https://colab.research.google.com/drive/1yTh9EtJAZPyrd9oPhtlUm5luNEoPkyil?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, programmatic arithmetic",tution calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1bF12xQW-NReeRCMLMPiYbFLw29Tyo1Hp?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators, programmatic arithmetic, arithmetic operators",university admission criteria,,Python,CS1,2023,https://colab.research.google.com/drive/159Ga5CgMls1pY-yksikPpcwhSQgwZ-l9?authuser=2,Stony Brook University
"functions, for loops, string basics, arithmetic operators, logical operators","made up internet language, letter replacement",,Python,CS1,2023,https://colab.research.google.com/drive/1JlaGThNg853GiQKZ7H5dEZAvAABv7Fu-?authuser=2,Stony Brook University
"functions, string basics, conditional statements, programmatic arithmetic, logical operators, arithmetic operators",vacation planner,,Python,CS1,2023,https://colab.research.google.com/drive/1HmsCq89XnJF6RW5EOwUarSOu-pyFt0sz?authuser=2,Stony Brook University
"functions, while loops, lists, string basics, logical operators, arithmetic operators",Pac-Man game,,Python,CS1,2023,https://colab.research.google.com/drive/1AHPKCI37R5a1OuTKuMF_l66KcvUqrZVw?authuser=2,Stony Brook University
"functions, while loops, string basics, conditional statements, logical operators",Pac-Man game,,Python,CS1,2023,https://colab.research.google.com/drive/1XuA1kSQ3-bgPmDBBa9XtDO10N_CqpZkx?authuser=2,Stony Brook University
"functions, lists, while loops, for loops, conditional statements, arithmetic operators","Abundant numbers, math",,Python,CS1,2023,https://colab.research.google.com/drive/1XSAgaRwr_0MMvy3LaSq5PXOLQXnVdX1_?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators, for loops, arithmetic operators","Armstring numbers, math",,Python,CS1,2023,https://colab.research.google.com/drive/1tVY3AImn43JEXMLHM3J2FvDHmce-kQ2n?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, logical operators","local eatery, Mexican food",,Python,CS1,2023,https://colab.research.google.com/drive/14ym0ITUZmK590cxj3mHnrC_UmcGl9r0K?authuser=2,Stony Brook University
"functions, conditional statements, while loops, arithmetic operators, logical operators, string formatting",Blackjack dice game,,Python,CS1,2023,https://colab.research.google.com/drive/1juViT9WsZfLa6Pm_3Hk2DpPNazz33myl?authuser=2,Stony Brook University
"functions, lists, while loops, logical operators, arithmetic operators, conditional statements","change, coins, money",,Python,CS1,2023,https://colab.research.google.com/drive/1ZA_cLeFLI1sMFuqdov9iOjaR-cyaxNfZ?authuser=2,Stony Brook University
"tuples, functions, lists, while loops, logical operators, arithmetic operators, conditional statements",robots climbing ladders competition,,Python,CS1,2023,https://colab.research.google.com/drive/11wj-FQL4qfeTFOJF5zgxiibVXMDQiV3P?authuser=2,Stony Brook University
"functions, lists, while loops, logical operators, arithmetic operators, conditional statements",completing major requirements,,Python,CS1,2023,https://colab.research.google.com/drive/1vbtxeniv0rnGRrRZgnplODljMYf6Kc8J?authuser=2,Stony Brook University
"tuples, functions, for loops, logical operators, conditional statements, lists",employee searcher,,Python,CS1,2023,https://colab.research.google.com/drive/1MZwPpXZtdE7Cy16J1Xvtp8B0sPo5k28X?authuser=2,Stony Brook University
"functions, lists, for loop, conditional statements","real estate tycoon, purchase property, budget",,Python,CS1,2023,https://colab.research.google.com/drive/1p1KQMPVSqZVPENcfjQJnIxRRLqFEnEuL?authuser=2,Stony Brook University
"functions, lists, conditional statements, while loops, logical operators, arithmetic operators","integers, prime numbers, math",,Python,CS1,2023,https://colab.research.google.com/drive/1RrSoTsQfmRpin-4_Sb0aT-k6GC9OOHjp?authuser=2,Stony Brook University
"functions, while loops, arithmetic operators, lists, for loops","hail, weather, Collatz sequence",,Python,CS1,2023,https://colab.research.google.com/drive/1Ec3lFPY26gednL47RnW6LaiiiNE7Cnnf?authuser=2,Stony Brook University
"functions, conditional statements, lists, while loops, arithmetic operators, logical operators, programmatic arithmetic",office hour simulator,,Python,CS1,2023,https://colab.research.google.com/drive/1t2xjAl5rt7f5zQb4ErwuAR2G8wN5KyHO?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, while loops","playing tag, gme",math,Python,CS1,2023,https://colab.research.google.com/drive/1m5dWvlQhDlcxmRS8Cs1nvS9SDrk1_2uI?authuser=2,Stony Brook University
"functions, lists, while loops, arithmetic operators, logical operators","flea market, antiques, shopping, budget",,Python,CS1,2023,https://colab.research.google.com/drive/1KsFvVqpSskzrX_q8ZptLMTtXgaN_OQbh?authuser=2,Stony Brook University
"functions, conditional statements, logical operators, for loops, while loops, lists, arithmetic operators, string basics",run length encoding and decoding,,Python,CS1,2023,https://colab.research.google.com/drive/1pMOfJph8RtYnm9BIilXyW9_1AX4rICMT?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, while loops, lists, logical operators",simple turn based game,,Python,CS1,2023,https://colab.research.google.com/drive/1KCf7SbGBmCOrO5JffrpekeYFHYPtSjG3?authuser=2,Stony Brook University
"functions, while loops, logical operators, conditional statements, string basics, lists, arithmetic operators",shopping spree,,Python,CS1,2023,https://colab.research.google.com/drive/1_4hadG7x_s6fNt4SWoNTfkpIdwLod4tn?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, arithmetic operators",student grade alert,,Python,CS1,2023,https://colab.research.google.com/drive/1f3QA98FdxR7mYkgxEHG9O3YpHNHELKnO?authuser=2,Stony Brook University
"functions, while loop, logical operators, arithmetic operators, conditional statements, lists, tuples",calculating study time,random,Python,CS1,2023,https://colab.research.google.com/drive/1hBWLi0wDXPzFg67h393ny6KfR6QKZwBd?authuser=2,Stony Brook University
"functions, while loops, lists, conditional statements, arithmetic operators",Collatz/hailstone sequence,,Python,CS1,2023,https://colab.research.google.com/drive/1e8NuGFblNrUppm2ZAQ5TJemnFi2rs6EM?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, for loops, while loops, lists, string basics","look-and-say sequence, math",,Python,CS1,2023,https://colab.research.google.com/drive/1DCnk3wk7loqKBWdwk7CckDfvKkEKifNq?authuser=2,Stony Brook University
"functions lists, while loops, arithmetic operators, conditional statements",Pig dice game,random,Python,CS1,2023,https://colab.research.google.com/drive/1e9tHZ2_rOCJfA-JFyWHghZPcUV1KNHHP?authuser=2,Stony Brook University
"functions, lists, while loops, conditional statements, logical operators, arithmetic operators",unfair hiring system,,Python,CS1,2023,https://colab.research.google.com/drive/13u4g-MadpCOkguKt4FE-Gr2etBVCjJf3?authuser=2,Stony Brook University
"functions, lists, conditional statements, string formatting, while loops, logical operators, arithmetic operators",vampire hunters,,Python,CS1,2023,https://colab.research.google.com/drive/18h0p_9RpzwjLM1fbNhjGlhyBS9D_NzeM?authuser=2,Stony Brook University
"functions, while loops, logical operators, conditional statements, arithmetic operators","virtual pet frog, game",,Python,CS1,2023,https://colab.research.google.com/drive/1VZdOalN5KJ9ciDs4TITSGIY0p2p6Qf9k?authuser=2,Stony Brook University
"functions, conditional statements, for loops, arithmetic operators, logical operators, lists",weighted GPA calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1gT9rkkvbiL5G06tlUO6kLbnS5TpVlRT1?authuser=2,Stony Brook University
"functions, list, while loops, for loops, arithmetic operators, string formatting","Beat That! game, dice",random,Python,CS1,2023,https://colab.research.google.com/drive/168xxCF4XK31Hl-cQwP_gwHx5O57v4dbL?authuser=2,Stony Brook University
"functions, lists, for loops, conditional statements, arithmetic operators","birthday paradox experiment, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1IAKe8xd-ktbDyiKm9FejBJt7mfKdKU1_?authuser=2,Stony Brook University
"functions, for loops, conditional statements, arithmetic operators, string formatting","car wash business, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1p2uvs84fuXi6vQ-2Va6baPsyVYa5jDDl?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, logical operators, string formatting, for loops,","chest loot randomizer, RPG game, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1ZGeOyb-EMbYsABwlK8ztc7deFTPgpvc1?authuser=2,Stony Brook University
"string formatting, functions, for loops, conditional statements, arithmetic operators",generate random phone numbers,"re, random",Python,CS1,2023,https://colab.research.google.com/drive/1SLVK-OZ8jAaTVHcL11oTOC9RG61HVtol?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, dictionaries, for loops, string formatting, lists","horse race betting, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1_3KSEoLSzfrpoF3bPHgHStbiZjpf28IM?authuser=2,Stony Brook University
"functions, lists, string basics, while loops, conditional statements, arithmetic operators, logical operators","pet rat, game positioning",,Python,CS1,2023,https://colab.research.google.com/drive/1t5Qv3_nj33dJ-JakIb-ruAo7TyUHk_0g?authuser=2,Stony Brook University
"functions, while loops, conditional statements, arithmetic operators, lists","mountain climbing, Mount Everest",,Python,CS1,2023,https://colab.research.google.com/drive/11zygkh51_5YwBg6z4BM0JNbtnMGaV6HV?authuser=2,Stony Brook University
"while loops, logical operators, lists, functions, conditional statements, arithmetic operators, for loops, string formatting","Rock, Paper, Scissors game, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1KJGOLq3xBDEKMahQ9WCD-twss5MstyLA?authuser=2,Stony Brook University
"functions, lists, while loops, logical operators, conditional statements, arithmetic operators, for loops, string formatting","simulate game of chance, probability","random, math",Python,CS1,2023,https://colab.research.google.com/drive/1V1eNpm6eUX1tvXsiYBT1qukBqAJTo0Pn?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, logical operators, while loops, for loops, string formatting","single player Craps game, dice",random,Python,CS1,2023,https://colab.research.google.com/drive/18f-LtOM0oEcUuTv9avdK4PHY09XZJ4Zg?authuser=2,Stony Brook University
"functions, for loops, lists, arithmetic operators, string formatting",single player Going to Boston game,random,Python,CS1,2023,https://colab.research.google.com/drive/1REPLeWvaI_1Rwp4-04NjE4YLGxe8VxN8?authuser=2,Stony Brook University
"functions, lists, conditional statements, logical operators, arithmetic operators, dictionaries, for loops, string formatting","three card poker, game, cards",random,Python,CS1,2023,https://colab.research.google.com/drive/1moJ321Yx4izGZ_l3On2icyMkSxrCDVUr?authuser=2,Stony Brook University
"functions, while loops, arithmetic operators, logical operators, conditional statements, for loops",single player Pig dice game,random,Python,CS1,2023,https://colab.research.google.com/drive/1rq9bDlVxq4h00VAHh0oKn4hA1t8FU0N_?authuser=2,Stony Brook University
"functions, for loops, arithmetic operators, string formatting, lists","waiter's earnings, wage",random,Python,CS1,2023,https://colab.research.google.com/drive/1QtAfgoTf5S9EaMcc72e9NtFhVdzPSCMF?authuser=2,Stony Brook University
"functions, for loops, lists, conditional statements, arithmetic operators, string formatting","local ice cream shop, probability",random,Python,CS1,2023,https://colab.research.google.com/drive/1tBdraksoMqmhTfxZbEqMznGTw_keV20g?authuser=2,Stony Brook University
"functions, dictionaries, for loops, string basics, conditional statements, lists","anagram classification, words",,Python,CS1,2023,https://colab.research.google.com/drive/1qPWYmAlAXgQPJdvVX190V0WGpdfWQk2j?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, lists, string basics, text files, for loops",word permutations,,Python,CS1,2023,https://colab.research.google.com/drive/1kqYj-L9QZ6XxWhYWY3UI14ra6cFCaavp?authuser=2,Stony Brook University
"functions, for loops, dictionaries",assemble student data,csv,Python,CS1,2023,https://colab.research.google.com/drive/1PcihIMSebRnHaXv7nheV0I4Fuso5tozi?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, dictionaries",banking,,Python,CS1,2023,https://colab.research.google.com/drive/10KVanBlRWiIzKC-LYutcUCS7yZ-0nhyV?authuser=2,Stony Brook University
"functions, conditional statements, lists, for loops, dictionaries",basketball team draft,pprint,Python,CS1,2023,https://colab.research.google.com/drive/1nJa5FN14CPLsSuvkw2FyZAiN-jerSErc?authuser=2,Stony Brook University
"functions, dictionaries, for loops, arithmetic operators","snacks, food, candy, amusement park",,Python,CS1,2023,https://colab.research.google.com/drive/1Ntp8iKrRcE5Pyw8ryQ2gyRJMYk0LKP9c?authuser=2,Stony Brook University
"functions, dictionaries, for loops, conditional statements","Caesar cipher, ASCII values",,Python,CS1,2023,https://colab.research.google.com/drive/11aJINCDBu0k-sIwj_wO8bVol1qbWxHox?authuser=2,Stony Brook University
"functions, for loops, dictionaries, lists, conditional statements, arithmetic operators",course registration,,Python,CS1,2023,https://colab.research.google.com/drive/1-RNzLUUnpqzLPhYIAcnf8fKKH4ugsnIG?authuser=2,Stony Brook University
"functions, dictionaries, lists, for loops, arithmetic operators",dictionary of GPAs,pprint,Python,CS1,2023,https://colab.research.google.com/drive/1UJPGcZA4MhU7uqMAlWMW2_KDJR5aom92?authuser=2,Stony Brook University
"functions, dictionaries, string basics, conditional statements, arithmetic operators, string concatenation",date reformatter,,Python,CS1,2023,https://colab.research.google.com/drive/1t0hn0m0Wlv8Wcp4BFQ6XywQkOHEmG_Ow?authuser=2,Stony Brook University
"functions, conditional statements, arithmetic operators, for loops, dictionaries",calculate farthest distance traveled on vacation,,Python,CS1,2023,https://colab.research.google.com/drive/1WcWq8ovFMHeRoXrIBUth0VSsrtyLWEZq?authuser=2,Stony Brook University
"functions, dictionaries, for loops, string basics, conditional statements, arithmetic operators, string concatenation",football season records,,Python,CS1,2023,https://colab.research.google.com/drive/1D0FrsHrGFf4tRhsyryEOjZVtvgtU8Ges?authuser=2,Stony Brook University
"functions, string basics, dictionaries, for loops, lists",convert human-readable time intervals to date components,,Python,CS1,2023,https://colab.research.google.com/drive/1tmE-0L3G-7TWqdqosXF6KFodPiS7qtn2?authuser=2,Stony Brook University
"functions, conditional statements, dictionaries, string basics, for loops, arithmetic operators",grocery shopping,,Python,CS1,2023,https://colab.research.google.com/drive/1Lnau4aYaXm-Z5GJL8neOTQgNZLgeh0DD?authuser=2,Stony Brook University
"functions, for loops, conditional statements, logical operators, dictionaries",house sales tracker,pprint,Python,CS1,2023,https://colab.research.google.com/drive/1Wye4ydy82WVGJzXrcrSCnONZ7lYv42nR?authuser=2,Stony Brook University
"functions, html files, for loops, conditional statements, string concatenation, string basics",HTML stylizer,,Python,CS1,2023,https://colab.research.google.com/drive/13IildFxb0RAvIP6etVxmz67weZo0EmH3?authuser=2,Stony Brook University
